	utterance	feats
808	could you clarify the question	question you clarify question negativefeedback
809	uhm	turnmanagement
810	are you just saying yes or no or	yes or no or you saying no question
811	uh	uh   turnmanagement
812	no	no   answer
813	i will if you ask me yes or no question i will say yes or no	i yes or question i yes or no i will you ask i say me inform
814	i will	i i will  correction
815	okay	okay   feedback
816	uhm	turnmanagement
817	if you ask me a more open ended question i will try to answer the question	a question i question you ask i try question question inform
818	uh	uh   turnmanagement
819	i wo nt always have an answer to your question though	i answer question i have answer inform
820	okay	okay   feedback
821	uhm	turnmanagement
822	alright	alright   interactionstructuring
823	do you understand the rules	rules you understand rules question
824	yeah	yeah   commissive
825	would you like me to repeat anything	anything you like me anything commissive
826	would you	you would  correction
827	no	no   negativefeedback
828	i think i understood everything	i i everything i think i understood everything inform
829	mh	turnmanagement
830	alright	alright   feedback
831	alright and one more important thing	alright and thing   interactionstructuring
832	and one more important thing	and thing   inform
833	i will only be female famous people	i people i be  inform
834	uh	uh   turnmanagement
835	ah okay	ah okay   feedback
836	mhm	mhm   feedback
837	alright	alright   feedback
838	alright uh	alright uh   turnmanagement
839	uh	uh   turnmanagement
840	so lets start	lets   directive
841	what is your first question	what question question is  question
842	are you still alive	you are  question
843	no i am not	no i i am  answer
844	mhm	mhm   turnmanagement
845	uhm	turnmanagement
846	uh	uh   turnmanagement
847	are you from germany	germany you are  question
848	no i am not from germany	no i germany i am  answer
849	uhm	turnmanagement
850	are you from america	america you are  question
851	no i am not from america	no i america i am  answer
852	uh	uh   turnmanagement
853	what were you doing when you were alive	what you doing you were what question
854	ehm	ehm   turnmanagement
855	let me think for a minute	a minute me think  turnmanagement
856	uhm	turnmanagement
857	i was	i i was  answer
858	i was a princess	i a princess i was  answer
859	i was	i i was  correction
860	when i was alive	i i was  answer
861	and where are you from	and you are  question
862	i am from england	i england i am  answer
863	okay	okay   feedback
864	uhm	turnmanagement
865	uh	uh   turnmanagement
866	where did you die	you die  question
867	just a second	a   turnmanagement
868	uhm	turnmanagement
869	i died in paris	i paris i died  answer
870	mhm	mhm   feedback
871	uhm	turnmanagement
872	uhm	turnmanagement
873	you are princess diana	diana you are  inform
874	uh	uh   turnmanagement
875	yes	yes   commissive
876	that is the correct answer	answer that is  inform
877	good job	job   feedback
878	okay	okay   feedback
879	alright	alright   turnmanagement
880	alright hello again	alright hello   interactionstructuring
881	hello again	hello   socialobligation
882	hello	hello   socialobligation
883	are you ready to continue	you are  question
884	yes i am	yes i i am  answer
885	great	feedback
886	uh	uh   turnmanagement
887	do you remember all of the rules or do you have any questions	rules or questions you remember you have all questions question
888	uh	uh   turnmanagement
889	yes and no to the other question	yes and no question   answer
890	okay	okay   feedback
891	so you know all of the rules	rules you know all question
892	yes i do	yes i i do  commissive
893	great	feedback
894	alright	alright   turnmanagement
895	lets go ahead and get started then	lets and   directive
896	what is your first question	what question question is  question
897	uh	uh   turnmanagement
898	what are you famous for	what you are  question
899	uhm	turnmanagement
900	i am famous for being one of the wealthiest and most powerful women in western europe during the middle ages	i and women europe ages i am  answer
901	 laugh	feedback
902	are you part of the royalty or were you part of the royalty rather	part royalty or part royalty you are you were  question
903	yes i was	yes i i was  answer
904	which country uitelligible	country   uitelligible question
905	yeah	yeah   turnmanagement
906	uh	uh   turnmanagement
907	france	france   answer
908	france	france   feedback
909	uh	uh   turnmanagement
910	okay	okay   turnmanagement
911	do i know any french which	i i know french feedback
912	during which years exactly did you reign	years you reign  question
913	uhm	turnmanagement
914	could you clarify	you clarify  negativefeedback
915	okay	okay   commissive
916	uh	uh   turnmanagement
917	while you were at the peak of your power which position did you occupy in the country	peak power position country you were you occupy position question
918	uh	uh   turnmanagement
919	which position	position   correction
920	uhm	turnmanagement
921	i was the queen consort of france and later the queen consort of england	i queen consort france and queen consort england i was  answer
922	okay	okay   turnmanagement
923	and during which year were you the queen consort of england	and year queen consort england you were  question
924	uhm	turnmanagement
925	years	years   correction
926	from eleven fifty four to eleven eighty nine	answer
927	okay	okay   turnmanagement
928	uh	uh   turnmanagement
929	wait	directive
930	now how do i ask that	i i ask that feedback
931	how do	correction
932	now that does not work	that work  negativefeedback
933	okay	okay   turnmanagement
934	how did you die	you die  question
935	just a minute	a minute   turnmanagement
936	i do nt have an answer to that question	i answer question i have answer inform
937	okay	okay   feedback
938	who was your husband during your time as queen regent of england	who husband time queen regent england who was  question
939	uh	uh   turnmanagement
940	just a minute	a minute   turnmanagement
941	i was	i i was  answer
942	uh just a second	uh a   turnmanagement
943	uh	uh   turnmanagement
944	just a second	a   turnmanagement
945	yes	yes   feedback
946	sil i was married to henry duke of normandy who became king henry the second of england	i henry duke normandy who king henry second england i was who became  answer
947	sil i was	i i was  correction
948	uhm	turnmanagement
949	king	king   correction
950	ok	ok   turnmanagement
951	uhm	turnmanagement
952	what are you most known for in history of humankind	what history humankind you known  question
953	if its not too general for a question	a question   inform
954	that is a very good question	a question that is  feedback
955	i m not sure if i can answer it	i m i i m i answer it inform
956	give me just a second	a  a second turnmanagement
957	not sure that i can fully answer that question	i question i answer question inform
958	okay	okay   turnmanagement
