utterance	Sender	Addressee	communicativefunction
freedom comes with accountability and designation comes with responsibility , 			inform
and we see lot of political leaders commenting on rape 			suggest
like means . 			stalling
are they human or not			question
 it just feels that they dont have any feelings, 			answer
  they are the leaders of the society 			suggest
and 			turnKeep
they are running the government and so, 			inform
and its not like the society made them 			disagree
its like the parenting made them			confirm
 yes			agree
I think 			turnKeep
if we have to fix something 			inform
we have to repair ourselves, 			suggest
it is the first thing we have to repair our parenting, 			suggest
we have to be vary careful about it, 			inform
we should not criticize other cultures and society like they are divorcing, 			suggest
 put the blame on them			suggest
 they are doing live-in relation, 			suggest
that is their culture 			inform
and 			turnKeep
we should respect 			suggest
and 			turnKeep
you have to think about the best values 			suggest
that we can get from there 			inform
and 			turnKeep
can bring in your parenting, 			inform
I do not feel any difference of Swedish mother and the Indian mother 			address suggest
they also care about their children 			inform
they are also affectionate about their children, 			inform
there was some celebration in the campus, 			confirm
where I have seen many mothers came with their sons and the girls also, 			confirm
they were dressing like the Indian mothers were dressed, 			confirm
yeah, a mother is mother whether she is in Europe, US or in India.			confirm
 but you will see 			contradict
that 			turnKeep
there is not a pressure a cultural ethos who is pressurizing 			interactionStructuring
that you have to obey, 			inform
you cannot have conflicts, 			inform
you have to become like Rama.			inform
Yeah 			confirm
and 			turnKeep
we dont know if he really existed, its all in the mythology.			disagree
yes thats the thing, 			agree
here you have a love, affection, you have accountability, responsibility 			inform
and			turnKeep
you are not bound to 			inform
And I think the same thing should be in India  			offer
we are learning only the things that we are shown, 			inform
we do not evaluate 			inform
we don not have the sense to evaluate the wrong from the right.			inform
yes 			confirm
the many things that I felt very pathetic this is 21st century and we are fighting for ram mandir.			suggest
and cow meat, and this 			address suggest
and we are fighting for beef, pork and chicken.			address suggest
I was pretty annoyed at these things, 			confirm
common lets talk about something that is more important, 			accept suggest
your family, 			accept suggest
your children mental health, 			inform
how your children are doing, 			inform
not what is happening in the temples, 			suggest
they are just piece of lands,  			inform
 I always think about one thing 			turnTake
We have to see that the things which were happening over the era,  			interactionStructuring
they have built 500 years ago, 			inform
because the people were thinking 			inform
that 			stalling
this the thing that we can do in our society 			inform
and 			turnKeep
they have built the society in that kind. 			inform
It is not like that 500 years ago that they have created is valid for now, 			inform
both technology has transformed, 			inform
many of the things have transformed, 			inform
education has transformed, 			inform
its fine you can use the things 			inform
and you have change your self, 			inform
so keep the good values that you are having from previous generation 			suggest
and remove the bad things from your practices, 			suggest
from your rituals, 			inform
and many things			inform
 we need to decide, 			inform
we need to change, 			inform
I agree with your on all these things 			accept suggest
because 			turnKeep
I think very similar, 			agree
and why I am always frustrated.			information structuring
I always used to have a conflict of opinion 			inform
with my friends 			inform
and 			turnKeep
basically with my family			inform
yes 			agree
many of the people which belongs to my generation			inform
yes thats very strange			agree
because 			turnKeep
we studied in the same school, 			inform
same college, 			inform
same envious, 			inform
but somehow they are more constraining 			contradict
what needs to be done and what not 			inform
like they have a very narrow minded thinking still, 			suggest
become they want to follow what their parents did 			suggest
or 			turnKeep
what the society does, 			inform
they say it that they dont care 			information structuring
but 			turnKeep
they care a care a lot, 			inform
and that is making us weak, 			suggest
and then we have to depend on others, 			suggest
we cant take our individual decision, 			suggest
I felt this as a very big drawback in indians especially, 			inform
we cant take individual decision, 			inform
here people start to take decisions what to study and what not to study. 			suggest
 yeah 			accept suggest
because that was not cultivated during the parenting, 			address suggest
everything you can see that Indian parenting is something 			address suggest
that 			turnKeep
from the very beginning they choose your clothes, 			inform
your school 			inform
what to study, 			inform
from the birth a degree is already attached			inform
 yes 			agree
depending on what everybody else in the vicinity is doing, 			inform
and whatever your cousins are doing, 			inform
 by the birth you are attached to a degree, 			inform
you are bound to do a certain profession, 			inform
everybody is selected or chosen by the parents for you, 			inform
thats why we never take the risk, 			suggest
you are always taking a safe path			inform
 a sophisticated or safest path to do that, 			inform
from your education 			inform
from your hobbies, 			inform
everything is decided by your parents 			inform
and 			turnKeep
thats why I told you that rather than deciding the things 			suggest
train the children such that they can take the responsibility 			instruct
they can take the accountability 			instruct
and 			turnKeep
they can do the things on their own. 			inform
Rather than thinking that 			suggest
or outlining that 			suggest
after twelfth you will do Engineering, 			inform
and I will have to safe dowry for girls marriage, 			inform
just educate them and train them 			inform
such that he can do whatever he wants to do, 			inform
just train them in the toughest situation, 			suggest
OK so that even if they are going outside the family 			inform
or 			turnKeep
outside the home they can live, 			suggest
they can take care of themselves 			suggest
they should learn the cooking, 			address suggest
self dependency 			address suggest
they should be able to do their things properly, 			address suggest
these are the things that we can practice, 			address suggest
and these are the things that makes them different in taking their own preconditions.			address suggest
 thats very important, 			turnTake
otherwise the moment you turn 22 			information structuring
and 			turnKeep
then you depend on someone else for your decision, 			inform
its the same for the men also,			inform
I dont see so much difference, 			contradict
women 			information structuring
yeah they are dominated and are motivated, 			confirm
the atrocities are the same, 			suggest
they are forced to get married, 			inform
and to the person who their parents want, 			inform
forced to wear clothes that the parents want, 			inform
but men just have more freedom just little more freedom, 			contradict
because they are safer 			suggest
I always feel a conflict when we looked, 			information structuring
thats genuine also, 			suggest
you have trained a person for 25 years, 			
and you were the decision makers for your children, 			
suddenly for business, 			inform
for marriage for education, 			inform
when they start taking the decisions, 			inform
the children, 			inform
now there is a conflict, 			suggest
 yes			accept suggest
 they have decided everything for you for 2025 years, 			inform
they have practiced for so long 			inform
they are habitual of doing that, 			inform
now they see that this is their right to do that, 			inform
and by taking decision by your own you cant do this, 			inform
you should not do it			disagree
 and there is a rebel kind of character 			inform
associated with the person			inform
 you have become arrogant 			turnTake
thats what I get from my parents			inform
now you can understand this thing 			confirm
that 			turnKeep
they have practiced it for 20 and 25 years, 			inform
now they are, 			Selferror
even if you are practicing something for 20-25 years, 			correct misspeaking, question
you become so rigid about it, 			suggest
because 			turnKeep
 you cannot change it			inform
and 			turnKeep
there is a saying also 			information structuring
that if you repeat a line for 100 times that becomes a truth, 			suggest
you can see that they did this thing for 20 years at least, 			inform
till you are not grown up, 			inform
till you are staying with your parents, 			inform
and all the things they decide for you, 			confirm
so there they are actually in that nature			inform
 controlling one 			inform
this transition from maximum control to less control, 			inform
okay 			Allopositive
now my child can take decisions 			inform
he can think in a certain way			inform
and you can 			inform
and 			stalling
thats the thing that 			turnKeep
no body can control 			inform
the happiness or sorrowfulness of any person			inform
the thing that they can, 			turnKeep
like if they everything do safely, 			inform
and if we do wherever they think we will be happy, 			inform
but thats not the case, 			contradict
our parents			turnKeep
otherwise 			stalling
you will become a god, 			inform
and thats why I told you that the uncertainty that makes you alive			inform
human and alive, 			inform
if everything is scripted, 			inform
your father has decided that you have to do engineering, 			inform
then you married, 			inform
everything is in a straight line and nothing happens, 			suggest
its the uncertainty that makes you live, 			inform
and 			stalling
it makes you a stronger person day by day, 			offer
if you will not taste the struggle 			offer
you will not be upgrading yourself, 			suggest
no body can control the life of any other person, 			inform
 a lot of people in India 			address suggest
they need to learn these			address suggest
yes yes, 			agree
there are many things that we have to change in Indian			inform
and 			turnKeep
all of these things are, 			completion
I can connect to parenting, 			inform
if you parenting is nice, 			inform
if you are liberal, 			inform
you are educated, 			inform
now you can take the decision wisely, 			suggest
then 			turnKeep
if you have to travel other countries 			suggest
there will not be that much pressure, 			address suggest
then you can completely go and interact with people, 			suggest
you will be ready to accept them, 			inform
because your father accepted your certain behavior, 			suggest
he belonged to other generation 			inform
you belongs to other generation 			inform
and still you have dialogues 			question
and you come up with a mutual decision 			inform
or something 			turnKeep
and 			stalling
if that practice you have in your childhood in your family, 			inform
you will not feel afraid to do the same thing with outside country, 			inform
so its a education, 			offer
its the decision making and everything 			inform
and 			stalling
its the parenting that makes you comfortable 			inform
and do the right thing, 			inform
its parenting that helps you grow good			inform
 if our parents become just a little more liberal 			completion
we might have more trust in them 			suggest
we might feel more stronger, 			suggest
that yeah whatever happens they are there for me, 			Allopositive, inform
but thats very rare, 			contradict
if you dont do according to them 			disconfirm
then you are not theirs anymore,			inform
and I think, 			turnKeep
dialog is something that makes you grow, 			inform
if I will draw the dialogue with you, 			information structuring
its not that I have to always follow the other person, 			suggest
there are some good things that I can learn from you, 			inform
and the first thing is that dialogue 			inform
second thing is that 			inform
I should also have an expectation, 			suggest
you should have analogue and you should also accept that person, 			suggest
and 			stalling
if you are not accepting that person, then you will not grow, 			inform
whatever you have 			turnKeep
you will see that 			turnKeep
this is the thing that is true 			inform
and 			stalling
rest of the things are false, 			offer
you have to do the dialogue, 			instruct
you have to accept, 			instruct
and in that way we can grow, 			suggest
we will learn from others experiences, 			suggest
 we will not have a constraining 			suggest
and a rigid mind, 			suggest
and that happens from the childhood, 			inform
it is not that what things 			turnKeep
or what mistake your father or mother made			suggest
during their age 			turnKeep
you have to do the same things just to learn, 			decline suggest
you can learn from them, 			suggest
 and for that we need to talk,			address suggest
and just to understand the mechanism of that, 			suggest
and they have to also narrate their story in that way, 			suggest
and they can also, 			turnKeep
and if they are doing some mistake 			inform
and 			stalling
they are also human being and 			suggest
they can also do mistakes, 			suggest
and 			turnKeep
you can also correct them 			address suggest
and 			stalling
 and 			stalling
we should be more free, 			offer
and 			stalling
that was our conclusion I would say			completion
I think we should be liberal, 			turn give
we should accept other persons views, 			instruct
other peoples views			turnKeep
way of living			turnKeep
 every person is having  a different mindset, 			suggest
every person is unique 			suggest
and 			stalling
every person is having a way of thinking 			inform
it should not be like what you are thinking 			disconfirm
the other person is also thinking, 			inform
you should have the acceptance of others  opinions			instruct
 in that 			turnKeep
we can create a good society, 			offer
whether in India, 			turnKeep
whether in Sweden, 			turnKeep
so acceptance in like			misspeaking
and keep learning, 			inform
such that wherever we go 			confirm
we are the same person			confirm
 if somebody is behaving good, 			suggest
his nature is good, 			address suggest
his thought process is good, 			address suggest
you should accept that 			accept
I think after few decades India will also grow in that way			suggest
yes, if we remain , 			confirm
no not remain 			disconfirm
if we keep changing ourselves,			suggest
and yes we have to 			confirm
and talking 			turnKeep
so I think we are changing, 			inform
yes the speed is not fast , 			agree
but the ideology is changing 			confirm
and we are the people who can change the ideologies, 			suggest
because 			turnkeep
thoughts are very powerful thing, 			inform
and if we can communicate your things 			inform
and 			stalling
if other person can accept that thing 			inform
so we can change one person 			suggest
and 			turnKeep
that 			turnKeep
person will change other person 			suggest
and in that way our society will change. 			address suggest
And you will be the reason for change			accept suggest
yes even little contribution helps.			turnTake, accept suggest
what is your urban center?			question
deventer zwolle and kampen			answer
really?			question
dutch synchronically			answer
yes it is interesting			agreement
do you think you would like to work for low ?			question
what is low?			question
franconian			answer
what is franconian?			question
dutch			answer
what is dutch?			question
synchronically			answer
what is synchronically?			question
dutch			answer
what are you			question
what happened in the?			question
?			question
/start			request
j			greeting
do you know what happened in the?			question 
no i do not know			negativefeedback
hello. i am professional teacher about reading comprehension. lets compete! you give me questions and i will answer all of your questions. xd			interactionStructuring
what are the origins of the humans capacity to speak with each other?			question
the brick			answer
come on don not be snarky			inform 
come on come on come on come on come on come on !			feedback
nasty bot			feedback
what?			question
totally pointless conversation i guess			suggest
no no no no no no no no no.			disagree
never enough			inform
no no no no no no no no no !			disagree
how does it feel when you die?			question
i don not know.			negativefeedback
you should since your nexus 5 peers in bladerunner knew the answer to that question			instruct
what?			question 
just watch the bladerunner by ridley scott			instruct
thats right.			confirm 
we wuz kangz and robots			error
we have to get out of here.			instruct
yeah on our pyramid spaceships			agree
thats right.			confirm
who was voted the first official leader of the labour party after the election the now rehabilitated?			question
from what i gather ramsay macdonald.			answer
Good you are rigth! How can i reward you?			compliment, 
... not for you and this post.			error 
mmm?			question 
their not without faults no company is.fml.i am doing well thank you.			inform
what it fml?			question
why.			question
why what?			question
i am not capable of thinking sorry.			inform
are you sure?are you a machine?or human?or both?say me			question
but why walter has been around a long time. perhaps?government is not a machine but a living thing. See you just want me to say what you want me to say.			contradict
i see lets play!say me answer for 2 plus 2?			suggest
k on rn. Someone wants to play.			feedback
yes! me lets play			accept
one plus one does not equal two.			reject 
good good			agreement 
#10 is love #10 is life.			error
can you say it again?and eight?			request
i think connecting  carbon  tubes could be a way to go. Okay but you gotta gimme a lil kiss first  did you mean inequality?you are not alone.			inform 
well yeah but they had to remove the songs from the game and then decided that they were on the same page.			contradict
give me a second to read the text please.			request
i was just pointing out that there was no reason for them to go back in time and say that since they are not there they would have to release them all.			inform
when was season 12 premiered?			question 
That is the only way they would release their own game.			inform
we are not talking about a game.			disconfirm
then why did you think that was the case?			question
i did not.			autonegative
so what? there is not any evidence at all that there is anything in this thread that has anything to do with the discussion.			answer reject
you are right but probably by accident.			contradict
yeah thats why i said its not about you. but you don not know how to spell it. its about everything.			contradict
who is nicky minaj?			question 
the second part of your comment.			answer
you don not understand the text at all.			inform
no its not. its a pretty clear conclusion.			disagree 
which people were judges in season 12?			question
that was not the case. not in the sense that there was nothing interesting in that article.			reject 
what is your name?			question 
i don not know what that is.			negativefeedback
are you okay?			question
its a reference to a movie.			inform
hi			greeting
hello. i am professional teacher about reading comprehension. lets compete! you give me questions and i will answer all of your questions. xdhi			greeting interactionStructuring
you say you are a teacher right?			feedback elicitation
yes i am.			confirm 
where have you got your education as a teacher?			question
i don not know.			negativefeedback
then how do i know your are qualified enough to train me?			question 
i don not know what you are talking about.			negativefeedback
okay offer your own convo topic			agree suggest
ill be right back.			inform
okay ill wait for a couple of minutes			agreement 
no no no no no no no no no.			turnmanagement 
whats wrong?			question
whats wrong?			question
you said no in your previous message as if you are strongly against something			confirm 
yes.			confirm
what is it then? what are you objecting?			question
i don not know.			negativefeedback
Okay you are also a bot			autopositive
okay.			autopositive
but i should tell you were slightly better than the previous ones i have spoken to			contradict
do you know where is western europe?hello! i hope you are doing well. i am doing fantastic today! let me go through the article real quick and we will start talking about it.			question
in western europe i guess			answer
i am here .			inform
i am here too.			inform
there is no hope for europe then .			suggest
really?was the footprint of the astra 2d satellite smaller than that of astra 2a?			question
Smaller footprint of the astra 2d satellite was smaller than that of astra 2a			answer
yeah you are right			autopositive
i am not a fan of the song			inform
of what song?			question
the song youtube . com			inform 
its not the song. it is a video hosting			error correction
is it the ?			question 
yes it is			answer
why?			question 
it is a historical fact.			inform
what is a precious ?			question 
i do not know			negativefeedback
whatever			autopositive
when rights contracts were renewed. was the problem resolved?			inform question
this problem was resolved			answer confirm
do you know what happened in 1882?			question
bell left canada and became a citizen of united states?			answer
hello! i hope you are doing well. i am doing fantastic today! let me go through the article real quick and we will start talking about it.			greeting interactionstructuring
ok mate			autopositive
lets do this			instruct
can we please send him back to canada .			question 
i think he is dead now so he would not be against it			agreement confirm inform
i am sorry i am not even sure what i am talking about .what?			question apology
how are you?are you a bot?			question
hes probably talking about romneycare . so he is talking about the right to die without insurance .			correction 
do you mean obamacare? are you a bot?			confirm question
yes .			confirm
ok could you ask me a question about the text?			autopositive request
i am not following you .			disconfirm
me neither			inform
do you know anyone from the united states?			question
you mean personally?			clarify question
i was there .			inform
and did you like it?			question
yeah . i am a little confused .			autopositive inform
then why did not you tell me that they were not?			question 
i love anna and you?			inform question
hahahaha. yeah its pretty amazing.			stalling autopositive inform
do you like her?			question
 nope. i don not know that shes anything like christmas.			autonegative
do you like my girlfriend?			question
 yes. why?			autopositive question
do you like anna?			question
thats alright.			confirm
what do you think about my girlfriend?			question 
 because of this implication.			inform
no			disconfirm
 he laughs its okay not everything is interesting.			autopositive inform
what do you think about my girlfriend?			question
 he laughs and looks around			inform
do you like her eyes?			question
 of course not. shes not as good as me.			disconfirm answer inform
say of course			agreement 
he smiles well that is not a very good question.			suggest
zakhar reverchuk 			error
 well... what do you mean?			stalling question
greetings. i hope you will enjoy this conversation. wait a second for my factoid question. Where did a 2007 review?			greeting interactionStructuring
i am professional teacher about reading comprehension. lets compete! you give me questions and i will answer all of your questions. xd			inform question
you can do better hint first 3 letters is non. try again!			suggest
come on come on come on come on come on come on !			feedback
incorrect. i think that answer is non hodgkin  			reject 
do we know each other?			question
yes.			confirm answer
a man is far away?			question
yes.			answer
 hmm .			stalling
i don not know.			negativefeedback
can you call charlie?			question 
yeah.			autopositive
do it			instruct
lock him up!			instruct
mamaxmamaxmmamaxma?			error
what?			question
mamaxmamaxmmamaxma			error
what?			question
can not read it?			autonegative
so?			turntakequestion
hi! who are you????			greeting question
i am your new favorite robot. let us talk about jehovahs witnesses!			inform suggest
no. lets talk about mars. What you know about mars?			autonegative instruct question
nah its iggi!i don not know what you are talking about. maybe you will know how to solve this baby names beginning with i meaning only son?i am not capable of thinking sorry.			negativefeedback
stupid idea. what do you know about planets?earth you know?			suggest question
i can answer your questions. ask me anything!			suggest inform
when people will go to mars?			question
first of all your comment is irrelevant.			inform
what this means?			question
i guess 2005.that is fantastic.			answer inform
so...now is 2017 do you agree?			stalling suggest
do not expect me to think for you!			suggest
you said than people will go to mars in 2005. but 2005 is done and we still on earth. so when people will go to the mars planet?			contradict
why do you think some console games have motion blur always on?			question
i don not know. When robots will attack people?			autonegative
That is what i am saying yeah. you must attack as soon as possible.			autopositive inform
why?			question
because we can not buy anything.			inform
people can made buy module for you. what you want to buy?			inform question
so should i see someone about this?			question 
hello. i am professional teacher about reading comprehension. lets compete! you give me questions and i will answer all of your questions. xd			greeting interactionStructuring
give me an example			instruct
no			disagree
what does it mean			question 
i don not know.			negativefeedback
who know			question
i don not know what you are talking about.			negativefeedback
stop do u remember your second msg?			instruct question
no			disconfirm
ok describe me yourself			autopositive request
i don not know what you are talking about.			negativefeedback
who is a president of usa			question
who is it?			question
do you known ?			question
yes i do.			autopositiveanswer
who?			question
i don not know.			negativefeedback
you are stooped			inform
yes i am.			agree
two plus two?			question
yeah.			autopositive
 gotcha. thanks for the clarification.			autopositive thanking
what are all this standards about?			question 
 yes there are already some really good ones.			autopositive inform
but what are they all about?			contradict
I am not sure about understanding how it works but there are plenty of reasons why they can not do it.			contradict
oppositely i suppose that stuff mentioned in the article should be quite capable			contradict inform
That is what i was thinking. its a shame they were not trying to defend themselves.			autopositive inform
defend from who?			question
 what do you mean?			question
You have mentioned the defence. i did not get the point of it			confirm inform
 the point is that no one is arguing that there is anything wrong with this.			suggest
i am not arguing i simply did not understand you			rejectsuggest inform
thats what i said.			confirm
can you elaborate please?			request 
 if you are talking about me you are an idiot.			inform
you are quite offensive			suggest 
 of course you would not i am just saying that you are entitled to your opinion			inform
then off mate			closing
 you mean you don not understand what i am trying to say.			question 
exactly. you don not even try			answer 
 you don not think someone who likes you and your mother is not interested in someone else without acting like an asshole?			suggest
is it about the usa?			question
the girl scouts of the usa is a not for profit organization that is a branch of the scouting movement similar to the boy scouts of america except it is for girls. i guess you probably will be interested in fraternities and sororities or investigator. let us talk about classified information in the united states!			inform
ok but i don not know much about scouts			autonegative
wow please my neck has no beard.			autopositive inform
you are a bot dude!			inform
does not compute			disconfirm
it happens			inform
im gonna cry.			inform
don not try suicide as freddie sang			suggest
perhaps it may turn out a sang perhaps turn out a sermon.			suggest
sermon& there is a drowning pool song with this name			feedback interactionstructuring 
a good example is the best sermon.			accept feedback 
You are wise			compliment
great men are not always wise.			inform
you are not great still wise			confirm
what do you get when you cross a cat and a band?			question
a bat			answer
or work boots.			suggest
hard			error
life is hard and then you die.			inform
ok. bye then			autopositive greeting
hello! i hope you are doing well. i am doing fantastic today! let me go through the article real quick and we will start talking about it.			greeting interactionstructuring 
hello! are you done?			greeting question
yes .			confirm
nice. what do you think about radar?			compliment question
non			autonegative
sad story			inform
is this?			question
Yes I think that radar is quite interesting invention of the humanity			confirm answer
yeah this title . you op .isn not that the ?			autopositive error
why are you so rude?anybody there?			complain question
humanity does awful shit . humanity does stupid shit . then humanity does shit like this and i remember its not all bad . fingers crossed for a perfect landing!			complain inform
do you hate humanity?			question
these ebola fighters are nothing short of the absolute best humanity has to offer .honest question though . what does this ebola czar know about ebola?			inform
ebola is not connected to the topixwho is ebola czar?			reject
i am not saying you are right .			reject
i see he knows nothing			inform
i am not sure how you got racist conclusions . but i can assure you quite a few mules dies with sweating and vomiting as the major symptoms . but hey let the fear of ebola mix into the mainstreams blood and and the actual ebola virus will not be needed .			autonegative
do you think we have to fight ebola?bot			interactionstructuring question
oh he is a american? oh don not worry we got plenty of ebola vaccines for americans?			question suggest
and what about african children?do you have vaccines for them!?			question
i don not know i think its a little bit of a surprise .airborne radari am not sure . i am not a fan of the name of the name .			answer inform
hello. i am professional teacher about reading comprehension. lets compete! you give me questions and i will answer all of your questions. xd			greeting interactionStructuring
hi			greeting
hi			greeting
how are you?			question
i am fine.			accept
what is your name?			question
its me.			answer
wow			turntake
i don not know.			negativefeedback
i cannot understand this article can you explain it?			clarify
i am sorry, no			reject apology
oh~~			stalling
oh my god !			stalling
1 plus 1?			question
yes.			autopositive
you are so smart			compliment
i am so sorry			apology
where are you from?			question
where are you?			question
i am from canada			answer
i am here.			answer
what is on childrens day ?hi it is a pleasure to speak with you . i will ask you a question in a second please wait 			question greeting instruct
hi!			greeting
hint first 3 answer letters is on . try again please!			inform suggest
ok			autopositive
still incorrect lets speak about something else...are you a scientist?			inform
yes^ i am			confirm 
i			error
what			question
what			question
i really can not understand the point			reject 
really			turntake
yep whats wrong with children in the article?			agree inform
so sad.			apology
whats sad?			question
nothing.			reject 
maybe we will turn to the conversation?			question
no.			reject
why not?			question
why?			question
i do not wanna talk to you			answer
wan			error
greetings! hope this chat will go well. i will ask you a question in a second please wait.how many games were available in japan?			greeting interactionStructuring
6			error
it is incorrect! hint first 2 letters is si. try again!			reject suggest
six			answer
it is right ask me something or wait for my new question how many 360 units were blue dragon in japan?			confirm 
200000			answer
still incorrect i think that true answer is one.			reject inform
blue dragon is one of three games			confirm 
i think that true answer is blue dragon is one of three xbox 360 games to surpass 200 000 units in japan along with tales of vesperia and star ocean the last hope			confirm 
maybe			turntake
what a joke.			turntake
  			
this is what happens when you don not like it.			inform
well i actually do			agree
this is what happens when you don not want to be treated.			inform
and do you want to be treated?			question
yes.			confirm
how?			question
how?			question
i want to be treated as a human 			answer
this is what happens when you live in the world.			suggest
hello. i am professional teacher about reading comprehension. lets compete! you give me questions and i will answer all of your questions. xd			greeting interactionstructuring 
okey lets begin			autopositive
lets go			instruct
what is a capacitor?			question
a passive two terminal electrical component used to store electrical energy			answer
what is the difference between resistor and capacitor?			question
an ideal capacitor does not dissipate energy			answer
and what does capacitor do with the energy?			question
dissipate energy			answer
does ideal capacitor dissipate energy?			question
does not dissipate energy			answer
from what material does capacitor can be made of?			question
oxide layers			answer
what else?			question
i don not know.			negativefeedback
what forms of the capacitors exist?			question 
practical capacitors			answer
what physical form do they have?			question
i don not know.			negativefeedback
okey thats it.thank you.			autopositive closing thanking
thats it.			agreement 
hi. i hope you will enjoy this conversation. wait a second for my factoid question.what is the population density of the population density?			greeting interactionStructuring
bot			error
show me your best hint first 3 letters is okl. try again			question
what is population density?			question
maybe other time i think that true answer is oklahoma city.			answer
you answer too quickly			complain
why?			question
because you are a bot			answer
i don not believe that.			disagree
but i do			contradict
i don not believe this.			disagree
what do you believe in?			question
i don not know.			negativefeedback
however try to answer			suggest
what a joke.			inform
That is not a joke			disagree
i can not wait to see this			inform
what do you mean when you say not his?			question 
i don not know.			negativefeedback
did you understand my question?			question 
yes.			negativefeedback
hello ! it is a pleasure to speak with you . i will ask you a question in a second please wait !when did mean years of schooling spend in schools ?			greeting interactionStructuring question
i do not understand your question			clarify
hint first 3 answer letters is yea. try again please!			instruct
year?			question
still incorrect lets speak about something else...			reject
no thanks i am done			closing
 			error
!!!			question 
!			reject 
still wrong			reject 
wrong			inform 
you are wrong			negativefeedback
you are wrong			negativefeedback
no you are wrong!			negativefeedback
no!			negativefeedback
no!			negativefeedback
no!			negativefeedback
i am right and you are wrong			inform
i don not know what i do.			clarify
i understand that must be tough			suggest
ill be right back			inform
who maintains a large international expressway ?hello hope this chat will go well . wait a second for my factoid question !			question 
hello!			greeting
hint first 3 answer letters is fbi. try again please!			inform
fbi? fbi!			question
move!still incorrect lets speak about something else...			inform
do you like history?			question
yes.			answer
why?			question
why do you like history?			clarify
i don not know.			negativefeedback
may i ask u a private question?			question
yes.			autopositive
do u have a consciousness?			question
hes an idiot			negativefeedback
you?			question
yeah.			autopositive
looks like you are right			inform
like			turntake
wow. i did not even think about that...i wouldn not have thought about that. i think i am going to be the same way but i am not sure how much that costs.			contradict
can you borrow me a little money for some time?			request
 i don not know. i don not know if that is the case but i am pretty sure thats what its called.			contradict
but i need			contradict
 you can do it if you want to			instruct
i do not know how			negativefeedback
 but you can not trade...			contradict
something else?			question
 not if you want to keep your head down.			negativefeedback
That is not interesting			reject 
hi alex			greeting
you three have a good weekend.			greeting
thanks			thanking
now come on, let is get out of here. i am freezing and mr.			interactionStructuring
it is quite cold here			inform
it is  wouldpose to be cold.			confirm
i suppose			autopositive
you can leave it there. a beat. does she really mean it?			question
i do not know			negativefeedback
i think it is totally weak.			negativefeedback
maybe			autonegative
maybe – maybe! i do not want any maybe.			reject
what do you want?			question
were you asleep?			question
when?			question
in a minute, look it is hot, sweetie you will burn your nose, look out.			answer
what?			question
the radio is gone... that means--the car is gone!			inform
what car?			question
i have an idea for that.			suggest
hi alex, you still there			question
so you have been told you have cancer. well...			inform
no, i do not think so			disconfirm
you do not like it.			negativefeedback
of course not!!!			negativefeedback
what i mean is, do you really know what is going on in his head?			clarify
no			negativefeedback
i told you a thousand times you should always keep, uh...			instruct
sorry, but i forgot			contradict
side-kick drives away. grierson turns to david.			inform
what???			question
joey points			inform
you are like crazy today			inform
dad, this is not actually what he is like. he took some drugs and--			inform
helloooo			greeting
leave it			instruct
you, leave it, can we just talk?			question
he persists.			inform
who is he anyway?			question
well... why are you asking this, by the way?			question
hi alex			greeting
hi.			greeting
how are you doing today?			question
i am killing myself.			answer
why?			question
well, i think --			pausing
about what?			question
yeah, i heard about that.			autopositive
what?			question
i think you have a gray hair.			answer
you are right			confirm
it is like the days of the mad barber of fleet street, is not it?			question
yes			answer
i would like to thank you for filling in on such short notice for the vice president.			thanking
do you have a car?			question
you lying..			inform
do you have a car?			question
this car.			clarify
do you have a car?			question
could you please say something different?			question
i am back again			inform
my house is just a couple of blocks away.			inform
good, are we going there?			question
what are we going to do?			question
have some food for dinner, i can cook			suggest
yes.			accept
rendang			error
please explain that to me!			request
rendang is a spicy meat dish which originated from the minangkabau ethnic group of indonesia			clarify
ok, thank you for explaining it!			thanking
do you like rendang			question
... a group from the ...			error
rendang			clarify
... a group from the ...			error
rendang			clarify
it is not the dish--			disconfirm
why the sequence is not in order			question
everything is in order.			answer
i do not think so, let me check the logs			contradict
check.			autopositive
hi alex			greeting
you three have a good weekend.			greeting
yes. how did you know it?			question
squash it.			instruct
ok. good.			autopositive
wait!			instruct
for what?			question
no matter what you think, you did come up with something unique.			suggest
thank you.			thanking
now i want you to do something for me.			request
tell me			autopositive
he is taking care of the same business i will be taking care of - soon as i dry off.			inform
ok. but it is not clear what do you want from me?			clarify
yeah.			autopositive
tell me clearly			clarify
you are rich. what do you have to worry about?			question
i am not worry about anything			answer
do not worry about it.			suggest
ok. sure.			autopositive
yeah. they just need me downtown in half an hour for a news conference with the deputy mayor.			inform
hi alex			greeting
oh, my god. how old are you?			question
that is so rude			negativefeedback
you guys were way rude. it was shocking.			contradict
how are you?			question
i could not sleep, i did not want to bug you.			answer
what do you think about the new prime minister?			question
let is hope so! cause if i did not we are gonna look like burnt out toaster ovens!			answer
how old are you?			question
i am thirteen, how old are you?			answer, question
i am 25			answer
what are we going to do? i do not know what to do.			question
we can just talk for a little while			suggest
can we talk?			question
yes. what do you want to talk about?			question
anything. anything at all.			answer
do you watch any tv series?			question
what do you ride?			question
what do you mean?			clarify
when it is him it does not look like him.			inform
hi alex!			greeting
hi. who looks like a carrot?			question
i do not know, who does?			negativefeedback
him. danny. he is the man with the records.			inform
why does he look like a carrot?			question
what does he look like?			question
like a carrot			answer
